,date,year,company,price,monthly_return,volatility
0,2000-01-01,2000,Microsoft,39.81,,7.23
1,2000-02-01,2000,Microsoft,36.35,-0.09,7.23
2,2000-03-01,2000,Microsoft,43.22,0.19,7.23
3,2000-04-01,2000,Microsoft,28.37,-0.34,7.23
4,2000-05-01,2000,Microsoft,25.45,-0.1,7.23
5,2000-06-01,2000,Microsoft,32.54,0.28,7.23
6,2000-07-01,2000,Microsoft,28.4,-0.13,7.23
7,2000-08-01,2000,Microsoft,28.4,0.0,7.23
8,2000-09-01,2000,Microsoft,24.53,-0.14,7.23
9,2000-10-01,2000,Microsoft,28.02,0.14,7.23
10,2000-11-01,2000,Microsoft,23.34,-0.17,7.23
11,2000-12-01,2000,Microsoft,17.65,-0.24,7.23
12,2001-01-01,2001,Microsoft,24.84,0.41,2.64
13,2001-02-01,2001,Microsoft,24.0,-0.03,2.64
14,2001-03-01,2001,Microsoft,22.25,-0.07,2.64
15,2001-04-01,2001,Microsoft,27.56,0.24,2.64
16,2001-05-01,2001,Microsoft,28.14,0.02,2.64
17,2001-06-01,2001,Microsoft,29.7,0.06,2.64
18,2001-07-01,2001,Microsoft,26.93,-0.09,2.64
19,2001-08-01,2001,Microsoft,23.21,-0.14,2.64
20,2001-09-01,2001,Microsoft,20.82,-0.1,2.64
21,2001-10-01,2001,Microsoft,23.65,0.14,2.64
22,2001-11-01,2001,Microsoft,26.12,0.1,2.64
23,2001-12-01,2001,Microsoft,26.95,0.03,2.64
24,2002-01-01,2002,Microsoft,25.92,-0.04,2.29
25,2002-02-01,2002,Microsoft,23.73,-0.08,2.29
26,2002-03-01,2002,Microsoft,24.53,0.03,2.29
27,2002-04-01,2002,Microsoft,21.26,-0.13,2.29
28,2002-05-01,2002,Microsoft,20.71,-0.03,2.29
29,2002-06-01,2002,Microsoft,22.25,0.07,2.29
30,2002-07-01,2002,Microsoft,19.52,-0.12,2.29
31,2002-08-01,2002,Microsoft,19.97,0.02,2.29
32,2002-09-01,2002,Microsoft,17.79,-0.11,2.29
33,2002-10-01,2002,Microsoft,21.75,0.22,2.29
34,2002-11-01,2002,Microsoft,23.46,0.08,2.29
35,2002-12-01,2002,Microsoft,21.03,-0.1,2.29
36,2003-01-01,2003,Microsoft,19.31,-0.08,1.12
37,2003-02-01,2003,Microsoft,19.34,0.0,1.12
38,2003-03-01,2003,Microsoft,19.76,0.02,1.12
39,2003-04-01,2003,Microsoft,20.87,0.06,1.12
40,2003-05-01,2003,Microsoft,20.09,-0.04,1.12
41,2003-06-01,2003,Microsoft,20.93,0.04,1.12
42,2003-07-01,2003,Microsoft,21.56,0.03,1.12
43,2003-08-01,2003,Microsoft,21.65,0.0,1.12
44,2003-09-01,2003,Microsoft,22.69,0.05,1.12
45,2003-10-01,2003,Microsoft,21.45,-0.05,1.12
46,2003-11-01,2003,Microsoft,21.1,-0.02,1.12
47,2003-12-01,2003,Microsoft,22.46,0.06,1.12
48,2004-01-01,2004,Microsoft,22.69,0.01,1.24
49,2004-02-01,2004,Microsoft,21.77,-0.04,1.24
50,2004-03-01,2004,Microsoft,20.46,-0.06,1.24
51,2004-04-01,2004,Microsoft,21.45,0.05,1.24
52,2004-05-01,2004,Microsoft,21.53,0.0,1.24
