,company,date,price,year,monthly_return,volatility,shares,inv_value
0,Microsoft,2004-08-01,22.47,2004,-0.04,1.24,445.04,10000.05
1,Microsoft,2004-09-01,22.76,2004,0.01,1.24,445.04,10129.11
2,Microsoft,2004-10-01,23.02,2004,0.01,1.24,445.04,10244.82
3,Microsoft,2004-11-01,24.6,2004,0.07,1.24,445.04,10947.98
4,Microsoft,2004-12-01,24.52,2004,-0.0,1.24,445.04,10912.38
5,Microsoft,2005-01-01,24.11,2005,-0.02,0.97,445.04,10729.91
6,Microsoft,2005-02-01,23.15,2005,-0.04,0.97,445.04,10302.68
7,Microsoft,2005-03-01,22.24,2005,-0.04,0.97,445.04,9897.69
8,Microsoft,2005-04-01,23.28,2005,0.05,0.97,445.04,10360.53
9,Microsoft,2005-05-01,23.82,2005,0.02,0.97,445.04,10600.85
10,Microsoft,2005-06-01,22.93,2005,-0.04,0.97,445.04,10204.77
11,Microsoft,2005-07-01,23.64,2005,0.03,0.97,445.04,10520.75
12,Microsoft,2005-08-01,25.35,2005,0.07,0.97,445.04,11281.76
13,Microsoft,2005-09-01,23.83,2005,-0.06,0.97,445.04,10605.3
14,Microsoft,2005-10-01,23.8,2005,-0.0,0.97,445.04,10591.95
15,Microsoft,2005-11-01,25.71,2005,0.08,0.97,445.04,11441.98
16,Microsoft,2005-12-01,24.29,2005,-0.06,0.97,445.04,10810.02
17,Microsoft,2006-01-01,26.14,2006,0.08,2.33,445.04,11633.35
18,Microsoft,2006-02-01,25.04,2006,-0.04,2.33,445.04,11143.8
19,Microsoft,2006-03-01,25.36,2006,0.01,2.33,445.04,11286.21
20,Microsoft,2006-04-01,22.5,2006,-0.11,2.33,445.04,10013.4
21,Microsoft,2006-05-01,21.19,2006,-0.06,2.33,445.04,9430.4
22,Microsoft,2006-06-01,21.8,2006,0.03,2.33,445.04,9701.87
23,Microsoft,2006-07-01,22.51,2006,0.03,2.33,445.04,10017.85
24,Microsoft,2006-08-01,24.13,2006,0.07,2.33,445.04,10738.82
25,Microsoft,2006-09-01,25.68,2006,0.06,2.33,445.04,11428.63
26,Microsoft,2006-10-01,26.96,2006,0.05,2.33,445.04,11998.28
